Material Category,Material Type,Business Group,Employee Count,Total Disposed Tons,Material Tons Disposed,Percent of Disposal,Total Curbside Recycle Tons,Material Tons in Curbside Recycle,Percent of Curbside Recycle,Total Curbside Organics Tons,Material Tons in Curbside Organics,Percent of Curbside Organics,Total Other Diversion Tons,Material Tons in Other Diversion,Percent of Other Diversion,Material Tons Generated (Sum of all Streams),Percent of Total Generation
Paper,Uncoated Corrugated Cardboard,Restaurants,8,19,0,2.0%,2,1,61.3%,1,0,1.0%,1,0,19.5%,2,7.8%
Paper,Paper Bags,Restaurants,8,19,0,0.3%,2,0,0.3%,1,0,0.0%,1,0,0.0%,0,0.3%
Paper,Newspaper,Restaurants,8,19,1,2.6%,2,0,0.3%,1,0,0.4%,1,0,0.4%,1,2.2%
Paper,White Ledger Paper,Restaurants,8,19,0,0.7%,2,0,0.4%,1,0,0.0%,1,0,0.1%,0,0.6%
Paper,Other Office Paper,Restaurants,8,19,0,0.3%,2,0,0.6%,1,0,0.0%,1,0,0.0%,0,0.3%
Paper,Magazines and Catalogs,Restaurants,8,19,0,0.2%,2,0,0.4%,1,0,0.0%,1,0,0.0%,0,0.2%
Paper,Phone Books and Directories,Restaurants,8,19,0,0.0%,2,0,0.0%,1,0,0.0%,1,0,0.0%,0,0.0%
Paper,Other Miscellaneous Paper - Compostable,Restaurants,8,19,0,0.6%,2,0,1.5%,1,0,0.9%,1,0,0.0%,0,0.7%
Paper,Other Miscellaneous Paper - Other,Restaurants,8,19,0,2.1%,2,0,1.8%,1,0,0.0%,1,0,0.4%,0,1.9%
Paper,Remainder / Composite Paper - Compostable,Restaurants,8,19,2,12.2%,2,0,0.9%,1,0,0.3%,1,0,0.0%,2,10.1%
Paper,Remainder / Composite Paper - Other,Restaurants,8,19,1,5.0%,2,0,0.6%,1,0,0.3%,1,0,0.0%,1,4.2%
Glass,Clear Glass Bottles and Containers,Restaurants,8,19,0,1.6%,2,0,5.2%,1,0,2.5%,1,0,5.9%,0,2.1%
Glass,Green Glass Bottles and Containers,Restaurants,8,19,0,0.5%,2,0,5.4%,1,0,3.6%,1,0,13.4%,0,1.5%
Glass,Brown Glass Bottles and Containers,Restaurants,8,19,0,0.5%,2,0,1.3%,1,0,0.8%,1,0,35.4%,0,1.6%
Glass,Other Glass Colored Bottles and Containers,Restaurants,8,19,0,0.0%,2,0,0.0%,1,0,0.0%,1,0,0.0%,0,0.0%
Glass,Flat Glass,Restaurants,8,19,0,0.0%,2,0,0.0%,1,0,0.0%,1,0,0.0%,0,0.0%
Glass,Remainder / Composite Glass,Restaurants,8,19,0,0.2%,2,0,0.1%,1,0,0.0%,1,0,0.0%,0,0.2%
Metal,Tin/Steel Cans,Restaurants,8,19,0,1.1%,2,0,2.4%,1,0,0.2%,1,0,1.4%,0,1.2%
Metal,Major Appliances,Restaurants,8,19,0,0.0%,2,0,0.0%,1,0,0.0%,1,0,0.0%,0,0.0%
